agency_cd	site_no	datetime	698_00060_00003	698_00060_00003_cd	699_80154_00003	699_80154_00003_cd	700_80155_00003	700_80155_00003_cd	701_00010_00001	701_00010_00001_cd	702_00010_00002	702_00010_00002_cd	703_00010_00003	703_00010_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	15266300	2000-05-11	2610	A					8.5	A	5.0	A	7.0	A
USGS	15266300	2000-05-12	2690	A					9.0	A	5.5	A	7.0	A
USGS	15266300	2000-05-13	2830	A					9.0	A	6.0	A	7.5	A
USGS	15266300	2000-05-14	2950	A					8.0	A	6.5	A	7.0	A
USGS	15266300	2000-05-15	3070	A					7.0	A	5.5	A	6.5	A
USGS	15266300	2000-05-16	3240	A					7.5	A	5.5	A	6.5	A
USGS	15266300	2000-05-17	3280	A					7.5	A	6.0	A	7.0	A
USGS	15266300	2000-05-18	3360	A					7.5	A	5.5	A	6.5	A
USGS	15266300	2000-05-19	3420	A					7.0	A	6.0	A	6.5	A
USGS	15266300	2000-05-20	3510	A					7.0	A	5.0	A	6.5	A
USGS	15266300	2000-05-21	3700	A					7.5	A	5.5	A	6.5	A
USGS	15266300	2000-05-22	3780	A					7.0	A	5.5	A	6.5	A
USGS	15266300	2000-05-23	3720	A					8.0	A	6.0	A	6.5	A
USGS	15266300	2000-05-24	3850	A					8.0	A	5.5	A	6.5	A
USGS	15266300	2000-05-25	3890	A					8.5	A	5.5	A	7.0	A
USGS	15266300	2000-05-26	3970	A					9.0	A	6.0	A	7.5	A
USGS	15266300	2000-05-27	4040	A					9.5	A	6.5	A	8.0	A
USGS	15266300	2000-05-28	4090	A					9.5	A	7.0	A	8.0	A
USGS	15266300	2000-05-29	4130	A					9.0	A	7.0	A	8.0	A
USGS	15266300	2000-05-30	4110	A					8.5	A	6.5	A	7.5	A
USGS	15266300	2000-05-31	4250	A					7.5	A	6.0	A	6.5	A
USGS	15266300	2000-06-01	4360	A					8.5	A	6.0	A	7.5	A
USGS	15266300	2000-06-02	4450	A					9.0	A	7.0	A	8.0	A
USGS	15266300	2000-06-03	4610	A					9.0	A	7.0	A	8.0	A
USGS	15266300	2000-06-04	4880	A					9.5	A	7.0	A	8.5	A
USGS	15266300	2000-06-05	5140	A					12.5	A	8.0	A	10.0	A
USGS	15266300	2000-06-06	5360	A					12.0	A	10.5	A	11.0	A
USGS	15266300	2000-06-07	5800	A					11.5	A	9.5	A	10.5	A
USGS	15266300	2000-06-08	6510	A					10.0	A	8.5	A	9.0	A
USGS	15266300	2000-06-09	6800	A					10.5	A	8.5	A	9.5	A
USGS	15266300	2000-06-10	7020	A					10.0	A	8.5	A	9.0	A
USGS	15266300	2000-06-11	7530	A					11.0	A	8.5	A	9.5	A
USGS	15266300	2000-06-12	8120	A					11.5	A	9.0	A	10.0	A
USGS	15266300	2000-06-13	8490	A					10.5	A	8.5	A	9.5	A
USGS	15266300	2000-06-14	8860	A					10.5	A	8.5	A	9.5	A
USGS	15266300	2000-06-15	9210	A					10.0	A	7.5	A	8.5	A
USGS	15266300	2000-06-16	9450	A					10.0	A	8.0	A	9.0	A
USGS	15266300	2000-06-17	9550	A					10.0	A	8.0	A	9.0	A
USGS	15266300	2000-06-18	9710	A					9.5	A	7.5	A	9.0	A
USGS	15266300	2000-06-19	9950	A					9.5	A	8.0	A	8.5	A
USGS	15266300	2000-06-20	9850	A					9.0	A	7.5	A	8.5	A
USGS	15266300	2000-06-21	9680	A					10.0	A	7.5	A	9.0	A
USGS	15266300	2000-06-22	9670	A					9.5	A	7.5	A	8.5	A
USGS	15266300	2000-06-23	9690	A					11.0	A	8.0	A	9.5	A
USGS	15266300	2000-06-24	9840	A					12.0	A	8.5	A	10.5	A
USGS	15266300	2000-06-25	9970	A					12.0	A	10.0	A	11.0	A
USGS	15266300	2000-06-26	10100	A					11.0	A	10.0	A	10.5	A
USGS	15266300	2000-06-27	10300	A					11.0	A	10.0	A	10.5	A
USGS	15266300	2000-06-28	10900	A					11.0	A	9.5	A	10.5	A
USGS	15266300	2000-06-29	11400	A					10.5	A	9.0	A	10.0	A
USGS	15266300	2000-06-30	11600	A					12.0	A	9.5	A	11.0	A
USGS	15266300	2000-07-01	11600	A					12.5	A	9.5	A	11.0	A
USGS	15266300	2000-07-02	11700	A					12.0	A	9.0	A	10.5	A
USGS	15266300	2000-07-03	11900	A					13.5	A	11.5	A	12.5	A
USGS	15266300	2000-07-04	12200	A					13.0	A	11.0	A	12.0	A
USGS	15266300	2000-07-05	12600	A					12.5	A	9.0	A	10.0	A
USGS	15266300	2000-07-06	13200	A					12.0	A	9.5	A	10.5	A
USGS	15266300	2000-07-07	13200	A					12.0	A	9.0	A	10.5	A
USGS	15266300	2000-07-08	13400	A					12.0	A	8.5	A	10.0	A
USGS	15266300	2000-07-09	13700	A					12.0	A	10.0	A	11.5	A
USGS	15266300	2000-07-10	13900	A					12.0	A	10.0	A	11.0	A
USGS	15266300	2000-07-11	14100	A					13.5	A	10.5	A	12.0	A
USGS	15266300	2000-07-12	14100	A					14.0	A	12.5	A	13.0	A
USGS	15266300	2000-07-13	14100	A					13.5	A	12.5	A	13.0	A
